Cancer Type,FinnGen Endpoint,Significant Variants,Protective,Risk
skin,C3_SKIN_EXALLC,20673,9853,10838
prostate,C3_PROSTATE_EXALLC,17520,8487,9082
breast,C3_BREAST_EXALLC,11989,5680,6326
any_cancer,C3_CANCER_EXALLC,10066,4438,5644
melanoma,C3_MELANOMA_EXALLC,4716,1908,2816
thyroid,C3_THYROID_GLAND_EXALLC,3309,1169,2146
colorectal,C3_COLORECTAL_EXALLC,2462,1420,1047
lung,C3_BRONCHUS_LUNG_EXALLC,1696,838,860
non_small_cell_lung,C3_LUNG_NONSMALL_EXALLC,1291,503,792
bladder,C3_BLADDER_EXALLC,1176,589,591
colon,C3_COLON_EXALLC,1055,533,529
liver,C3_HEPATOCELLU_CARC_EXALLC,946,219,730
kidney,C3_KIDNEY_NOTRENALPELVIS_EXALLC,868,454,420
head_neck,C3_HEAD_AND_NECK_EXALLC,688,14,677
pancreas,C3_PANCREAS_EXALLC,362,210,154
stomach,C3_STOMACH_EXALLC,312,84,233
ovary,C3_OVARY_EXALLC,307,59,253
brain,C3_BRAIN_EXALLC,282,111,175
corpus_uteri,C3_CORPUS_UTERI_EXALLC,257,121,140
